Names,Team,ADP,PoS Rank,2024 TDs,2024 Targets,Target Share,2025 QB Pass Att,QB TDs,Teammate,News,Desc,,,,,,,
Ja'Marr Chase,(CIN),1,WR1.0,17,175,27.87%,652,43,WR13.7,,,,,,,,,
Justin Jefferson,(MIN),3.8,WR2.3,10,154,29.79%,,,WR34.3 | TE5.3,hamstring,rookie,,,,,,Key,
CeeDee Lamb,(DAL),4,WR2.7,6,152,27.14%,594,23,WR32.5 | TE12.2,,QB injury,,,,,,WR,
Puka Nacua,(LAR),8.3,WR4.8,3,106,29.86%,517,20,WR16.7,,,,,,,,TE,
Amon-Ra St. Brown,(DET),9,WR5.3,12,141,27.01%,539,37,WR24.5 | TE4.0,,,,,,,,WR1,
Malik Nabers,(NYG),9.3,WR5.5,7,170,34.91%,336,16,WR58.0,,,,,,,,WR2,
Brian Thomas Jr.,(JAC),11.8,WR7.5,10,133,25.48%,546,19,WR32.2,,QB injury,,,,,,WR3,
Nico Collins,(HOU),12.5,WR7.3,7,99,24.75%,532,20,WR53.8 | WR60.0,,,,,,,,WR4,
A.J. Brown,(PHI),16.2,WR9.2,7,97,34.28%,361,18,WR24.7 | TE14.2,,,,,,,,TE1,
Brock Bowers,(LV),17,TE1.0,5,153,25.84%,578,21,WR40.0,,,,,,,,,
Drake London,(ATL),17.2,WR9.7,9,158,29.31%,453,18,WR48.0 | TE16.8,,potential new qb,,,,,,New Team,
Trey McBride,(ARI),22,TE2.0,2,147,29.34%,541,21,WR18.7,,,,,,,,Rookie,
Ladd McConkey,(LAC),22.5,WR11.3,7,112,24.24%,581,26,WR56.0 | WR61.0,LIKE,,,,,,,,
Tyreek Hill,(MIA),26.2,WR13.7,6,123,21.65%,399,19,WR30.8 | TE17.0,,,,,,,,10+TDs,
Tee Higgins,(CIN),27,WR13.7,10,109,24.89%,652,43,WR1.0,,,,,,,,140+ TGTS,
Jaxon Smith-Njigba,(SEA),30.7,WR14.7,6,137,24.08%,545,35,WR44.3,,,,,,,,,
Garrett Wilson,(NYJ),32.7,WR15.5,7,154,26.15%,,,,,new qb,,,,,,Top 10 TGT %,
Terry McLaurin,(WAS),33.5,WR15.8,13,117,23.21%,480,25,WR39.8,ankle,,,,,,,Top 5 QB Att,BOLD
Davante Adams,(LAR),34.7,WR16.7,8,141,29.50%,517,20,WR4.8,,,,,,,,2 QBs,
Mike Evans,(TB),37.2,WR17.3,11,110,24.07%,570,41,WR33.0 | WR52.8 | WR59.0,,,,,,,,,
Marvin Harrison Jr.,(ARI),39.5,WR18.7,8,116,22.18%,541,21,TE2.0,,,,,,,,1 Top 150 TM,
George Kittle,(SF),39.8,TE3.0,8,94,20.66%,455,20,WR39.2 | WR44.3 | WR48.7,,,,,,,,WR only,
DJ Moore,(CHI),42,WR19.7,6,140,26.62%,384,15,WR34.3 | WR55.2 | TE14.5,,,,,,,,WR n TE,
