season,week,team_id,slot,player_id,player_name,position,nfl_team,opponent,fantasy_points,stat_5,stat_6,stat_7,stat_14,stat_15,stat_20,stat_21,stat_22,stat_28,stat_29,stat_32,stat_30,stat_33,stat_35,stat_36,stat_37,stat_38,stat_39,stat_45,stat_46,stat_47,stat_49,stat_50,stat_93,stat_53,stat_54
2019,1,1,QB,2560757,Lamar Jackson,QB,BAL,@MIA,43.56,324.0,5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,RB,2556075,Derrick Henry,RB,TEN,@CLE,28.9,,,,84.0,1.0,1.0,75.0,1.0,,,,,,,,,,,,,,,,,,
2019,1,1,RB,2558116,Aaron Jones,RB,GB,@CHI,4.9,,,,39.0,,1.0,,,,,,,,,,,,,,,,,,,,
2019,1,1,WR,2537931,Josh Gordon,WR,SEA,CIN,16.3,,,,,,3.0,73.0,1.0,,,,,,,,,,,,,,,,,,
2019,1,1,WR,2558149,JuJu Smith-Schuster,WR,PIT,@NE,13.8,,,,,,6.0,78.0,,,,,,,,,,,,,,,,,,,
2019,1,1,TE,2495966,Delanie Walker,TE,TEN,@CLE,22.5,,,,,,5.0,55.0,2.0,,,,,,,,,,,,,,,,,,
2019,1,1,W/R,2543457,Sammy Watkins,WR,KC,@JAX,46.8,,,,,,9.0,198.0,3.0,,,,,,,,,,,,,,,,,,
2019,1,1,BN,2550272,Albert Wilson,WR,MIA,BAL,3.4,,,,1.0,,2.0,13.0,,,,,,,,,,,,,,,,,,,
2019,1,1,BN,2552408,Darren Waller,TE,LV,DEN,14.0,,,,,,7.0,70.0,,,,,,,,,,,,,,,,,,,
2019,1,1,BN,2555260,Dak Prescott,QB,DAL,NYG,41.4,405.0,4.0,,12.0,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,BN,2560813,D.J. Moore,WR,CAR,LAR,12.6,,,,,,7.0,76.0,,,,,1.0,,,,,,,,,,,,,,
2019,1,1,BN,2562379,Marquise Brown,WR,BAL,@MIA,30.7,,,,,,4.0,147.0,2.0,,,,,,,,,,,,,,,,,,
2019,1,1,K,2506922,Stephen Gostkowski,K,NE,PIT,15.0,,,,,,,,,,,,,3.0,,1.0,2.0,1.0,,,,,,,,,
2019,1,1,DEF,100007,Cleveland Browns,,,TEN,0.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,35.0
2019,1,1,BN,100020,Minnesota Vikings,,,ATL,14.0,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,,,,,12.0
2019,1,1,QB,2555259,Carson Wentz,QB,PHI,WAS,31.02,313.0,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,RB,2552461,Duke Johnson,RB,HOU,@NO,13.0,,,,57.0,,4.0,33.0,,,,,,,,,,,,,,,,,,,
2019,1,1,RB,2558865,Chris Carson,RB,SEA,CIN,24.0,,,,46.0,1.0,6.0,34.0,1.0,,,,1.0,,,,,,,,,,,,,,
2019,1,1,WR,2495454,Julio Jones,WR,ATL,@MIN,15.1,,,,,,6.0,31.0,1.0,,,,,,,,,,,,,,,,,,
2019,1,1,WR,2555295,Sterling Shepard,WR,NYG,@DAL,10.2,,,,,,6.0,42.0,,,,,,,,,,,,,,,,,,,
2019,1,1,TE,2558266,George Kittle,TE,SF,@TB,13.4,,,,,,8.0,54.0,,,,,,,,,,,,,,,,,,,
2019,1,1,W/R,497322,Emmanuel Sanders,WR,SF,@TB,19.6,,,,,,5.0,86.0,1.0,,,,,,,,,,,,,,,,,,
2019,1,1,BN,1581,DeSean Jackson,WR,PHI,WAS,35.4,,,,,,8.0,154.0,2.0,,,,,,,,,,,,,,,,,,
2019,1,1,BN,2540148,Tyler Eifert,TE,CIN,@SEA,7.7,,,,,,5.0,27.0,,,,,,,,,,,,,,,,,,,
2019,1,1,BN,2552415,Jamison Crowder,WR,NYJ,BUF,24.3,,,,4.0,,14.0,99.0,,,,,,,,,,,,,,,,,,,
2019,1,1,BN,2555261,Jacoby Brissett,QB,IND,@LAC,20.5,190.0,2.0,,9.0,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,BN,2562722,Miles Sanders,RB,PHI,WAS,3.7,,,,25.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,
2019,1,1,K,2536340,Justin Tucker,K,BAL,@MIA,11.0,,,,,,,,,,,,,8.0,,,1.0,,,,,,,,,,
2019,1,1,DEF,100005,Chicago Bears,,,GB,9.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,10.0
2019,1,1,BN,100002,Baltimore Ravens,,,@MIA,13.0,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,,,,10.0
2019,2,1,QB,2560757,Lamar Jackson,QB,BAL,ARI,34.88,272.0,2.0,,120.0,,,,,,,,,,,,,,,,,,,,,,
2019,2,1,RB,2556075,Derrick Henry,RB,TEN,IND,17.4,,,,82.0,1.0,2.0,12.0,,,,,,,,,,,,,,,,,,,
2019,2,1,RB,2558116,Aaron Jones,RB,GB,MIN,25.0,,,,116.0,1.0,4.0,34.0,,,,,,,,,,,,,,,,,,,
2019,2,1,WR,2543457,Sammy Watkins,WR,KC,@LV,10.9,,,,,,6.0,49.0,,,,,,,,,,,,,,,,,,,
