a_user_id,a_name,b_user_id,b_name,reg_record,reg_pf,reg_pa,playoff_record,playoff_pf,playoff_pa,total_record,total_games
21679440,Joey,21679447,Mason,3-5-0,1007.4,958.78,1-0-0,141.92,129.98,4-5-0,9
21679440,Joey,21688760,Sean,4-3-0,873.12,904.32,1-0-0,168.8,149.7,5-3-0,8
21679440,Joey,21680417,Chris,6-5-0,1328.94,1372.74,0-2-0,258.12,305.92,6-7-0,13
21679440,Joey,25033943,Isaac,4-4-0,1007.7,1077.92,0-0-0,0.0,0.0,4-4-0,8
21679440,Joey,21680087,Kyle,4-7-0,1204.88,1386.82,2-0-0,262.56,207.08,6-7-0,13
21679440,Joey,21679454,Connie,6-2-0,1255.32,1142.22,0-1-0,126.12,163.34,6-3-0,9
21679440,Joey,22539599,Charlie,6-2-0,1123.5,1003.72,0-0-0,0.0,0.0,6-2-0,8
21679440,Joey,25036608,Luke,5-4-0,1123.28,1206.4,0-0-0,0.0,0.0,5-4-0,9
21679440,Joey,30533399,Evan,2-1-0,384.88,384.64,0-0-0,0.0,0.0,2-1-0,3
21679440,Joey,21680682,Andrew,5-3-0,983.44,945.56,1-0-0,151.28,109.4,6-3-0,9
21679440,Joey,21239480,Connor,2-5-0,883.38,913.12,0-0-0,0.0,0.0,2-5-0,7
21679447,Mason,21679440,Joey,5-3-0,958.78,1007.4,0-1-0,129.98,141.92,5-4-0,9
21679447,Mason,21688760,Sean,5-5-0,1239.76,1239.04,0-0-0,0.0,0.0,5-5-0,10
21679447,Mason,21680417,Chris,4-4-0,865.42,882.48,0-0-0,0.0,0.0,4-4-0,8
21679447,Mason,25033943,Isaac,5-2-0,862.76,758.06,0-0-0,0.0,0.0,5-2-0,7
21679447,Mason,21680087,Kyle,2-7-0,1010.9,1138.14,1-0-0,192.8,75.82,3-7-0,10
21679447,Mason,21679454,Connie,4-4-0,1008.48,942.04,1-1-0,219.24,236.76,5-5-0,10
21679447,Mason,22539599,Charlie,5-3-0,1078.44,902.62,0-1-0,97.48,98.4,5-4-0,9
21679447,Mason,25036608,Luke,4-2-0,720.82,599.26,0-1-0,84.92,103.0,4-3-0,7
21679447,Mason,30533399,Evan,1-3-0,492.0,493.08,0-0-0,0.0,0.0,1-3-0,4
21679447,Mason,21680682,Andrew,7-2-0,1052.74,1003.48,0-0-0,0.0,0.0,7-2-0,9
21679447,Mason,21239480,Connor,6-4-0,1344.58,1329.96,0-0-0,0.0,0.0,6-4-0,10
21688760,Sean,21679440,Joey,3-4-0,904.32,873.12,0-1-0,149.7,168.8,3-5-0,8
21688760,Sean,21679447,Mason,5-5-0,1239.04,1239.76,0-0-0,0.0,0.0,5-5-0,10
21688760,Sean,21680417,Chris,5-2-0,865.3,803.7,0-0-0,0.0,0.0,5-2-0,7
21688760,Sean,25033943,Isaac,5-3-0,1027.04,919.9,0-2-0,218.28,264.52,5-5-0,10
21688760,Sean,21680087,Kyle,6-2-0,999.7,863.3,1-0-0,167.04,105.02,7-2-0,9
21688760,Sean,21679454,Connie,3-5-0,893.22,998.18,0-0-0,0.0,0.0,3-5-0,8
21688760,Sean,22539599,Charlie,5-4-0,1110.74,1086.98,1-0-0,145.4,122.46,6-4-0,10
21688760,Sean,25036608,Luke,2-5-0,797.4,820.88,1-1-0,260.98,216.08,3-6-0,9
21688760,Sean,30533399,Evan,3-1-0,521.22,408.12,0-0-0,0.0,0.0,3-1-0,4
21688760,Sean,21680682,Andrew,6-2-0,986.56,918.84,0-0-0,0.0,0.0,6-2-0,8
21688760,Sean,21239480,Connor,8-3-0,1404.6,1304.38,0-1-0,144.78,163.68,8-4-0,12
21680417,Chris,21679440,Joey,5-6-0,1372.74,1328.94,2-0-0,305.92,258.12,7-6-0,13
21680417,Chris,21679447,Mason,4-4-0,882.48,865.42,0-0-0,0.0,0.0,4-4-0,8
21680417,Chris,21688760,Sean,2-5-0,803.7,865.3,0-0-0,0.0,0.0,2-5-0,7
21680417,Chris,25033943,Isaac,3-4-0,859.16,827.46,0-1-0,74.6,146.42,3-5-0,8
21680417,Chris,21680087,Kyle,7-3-0,1351.96,1168.86,1-0-0,175.18,113.4,8-3-0,11
21680417,Chris,21679454,Connie,5-4-0,1137.1,1126.84,0-0-0,0.0,0.0,5-4-0,9
21680417,Chris,22539599,Charlie,4-4-0,1007.38,923.58,0-0-0,0.0,0.0,4-4-0,8
21680417,Chris,25036608,Luke,6-3-0,1190.68,1030.82,0-0-0,0.0,0.0,6-3-0,9
21680417,Chris,30533399,Evan,3-1-0,512.14,400.64,0-0-0,0.0,0.0,3-1-0,4
21680417,Chris,21680682,Andrew,5-3-0,1027.5,1019.94,1-0-0,138.1,128.24,6-3-0,9
21680417,Chris,21239480,Connor,4-3-0,852.54,831.12,0-1-0,117.48,158.24,4-4-0,8
25033943,Isaac,21679440,Joey,4-4-0,1077.92,1007.7,0-0-0,0.0,0.0,4-4-0,8
25033943,Isaac,21679447,Mason,2-5-0,758.06,862.76,0-0-0,0.0,0.0,2-5-0,7
25033943,Isaac,21688760,Sean,3-5-0,919.9,1027.04,2-0-0,264.52,218.28,5-5-0,10
25033943,Isaac,21680417,Chris,4-3-0,827.46,859.16,1-0-0,146.42,74.6,5-3-0,8
25033943,Isaac,21680087,Kyle,6-1-0,950.16,784.2,1-2-0,342.5,359.94,7-3-0,10
25033943,Isaac,21679454,Connie,4-3-0,836.94,879.58,0-1-0,121.94,152.96,4-4-0,8
25033943,Isaac,22539599,Charlie,7-2-0,1104.18,1001.22,0-0-0,0.0,0.0,7-2-0,9
25033943,Isaac,25036608,Luke,4-3-0,863.2,840.24,0-0-0,0.0,0.0,4-3-0,7
25033943,Isaac,30533399,Evan,2-1-0,383.52,341.52,0-0-0,0.0,0.0,2-1-0,3
25033943,Isaac,21680682,Andrew,4-3-0,981.7,851.42,0-0-0,0.0,0.0,4-3-0,7
25033943,Isaac,21239480,Connor,5-5-0,1234.88,1314.92,0-0-0,0.0,0.0,5-5-0,10
21680087,Kyle,21679440,Joey,7-4-0,1386.82,1204.88,0-2-0,207.08,262.56,7-6-0,13
21680087,Kyle,21679447,Mason,7-2-0,1138.14,1010.9,0-1-0,75.82,192.8,7-3-0,10
21680087,Kyle,21688760,Sean,2-6-0,863.3,999.7,0-1-0,105.02,167.04,2-7-0,9
21680087,Kyle,21680417,Chris,3-7-0,1168.86,1351.96,0-1-0,113.4,175.18,3-8-0,11
21680087,Kyle,25033943,Isaac,1-6-0,784.2,950.16,2-1-0,359.94,342.5,3-7-0,10
21680087,Kyle,21679454,Connie,4-3-0,820.96,783.92,0-0-0,0.0,0.0,4-3-0,7
21680087,Kyle,22539599,Charlie,2-5-0,759.18,774.26,0-0-0,0.0,0.0,2-5-0,7
21680087,Kyle,25036608,Luke,5-2-0,830.84,740.32,0-0-0,0.0,0.0,5-2-0,7
21680087,Kyle,30533399,Evan,3-0-0,426.4,398.2,0-0-0,0.0,0.0,3-0-0,3
21680087,Kyle,21680682,Andrew,3-5-0,942.02,1068.44,0-1-0,91.74,98.92,3-6-0,9
21680087,Kyle,21239480,Connor,5-5-0,1239.92,1227.84,0-0-0,0.0,0.0,5-5-0,10
21679454,Connie,21679440,Joey,2-6-0,1142.22,1255.32,1-0-0,163.34,126.12,3-6-0,9
21679454,Connie,21679447,Mason,4-4-0,942.04,1008.48,1-1-0,236.76,219.24,5-5-0,10
21679454,Connie,21688760,Sean,5-3-0,998.18,893.22,0-0-0,0.0,0.0,5-3-0,8
21679454,Connie,21680417,Chris,4-5-0,1126.84,1137.1,0-0-0,0.0,0.0,4-5-0,9
21679454,Connie,25033943,Isaac,3-4-0,879.58,836.94,1-0-0,152.96,121.94,4-4-0,8
21679454,Connie,21680087,Kyle,3-4-0,783.92,820.96,0-0-0,0.0,0.0,3-4-0,7
21679454,Connie,22539599,Charlie,6-2-0,946.28,844.66,2-0-0,320.38,278.3,8-2-0,10
21679454,Connie,25036608,Luke,5-3-0,929.58,838.7,0-1-0,132.3,148.76,5-4-0,9
21679454,Connie,30533399,Evan,3-3-0,749.26,723.32,0-0-0,0.0,0.0,3-3-0,6
21679454,Connie,21680682,Andrew,3-7-0,1111.84,1246.8,1-1-0,259.88,269.16,4-8-0,12
21679454,Connie,21239480,Connor,4-3-0,813.02,857.92,0-0-0,0.0,0.0,4-3-0,7
22539599,Charlie,21679440,Joey,2-6-0,1003.72,1123.5,0-0-0,0.0,0.0,2-6-0,8
22539599,Charlie,21679447,Mason,3-5-0,902.62,1078.44,1-0-0,98.4,97.48,4-5-0,9
22539599,Charlie,21688760,Sean,4-5-0,1086.98,1110.74,0-1-0,122.46,145.4,4-6-0,10
22539599,Charlie,21680417,Chris,4-4-0,923.58,1007.38,0-0-0,0.0,0.0,4-4-0,8
22539599,Charlie,25033943,Isaac,2-7-0,1001.22,1104.18,0-0-0,0.0,0.0,2-7-0,9
22539599,Charlie,21680087,Kyle,5-2-0,774.26,759.18,0-0-0,0.0,0.0,5-2-0,7
22539599,Charlie,21679454,Connie,2-6-0,844.66,946.28,0-2-0,278.3,320.38,2-8-0,10
22539599,Charlie,25036608,Luke,6-4-0,1241.9,1147.24,0-0-0,0.0,0.0,6-4-0,10
22539599,Charlie,30533399,Evan,5-0-0,630.2,517.66,1-0-0,170.34,106.32,6-0-0,6
22539599,Charlie,21680682,Andrew,4-4-0,937.86,859.66,0-0-0,0.0,0.0,4-4-0,8
22539599,Charlie,21239480,Connor,2-5-0,791.5,909.64,0-0-0,0.0,0.0,2-5-0,7
25036608,Luke,21679440,Joey,4-5-0,1206.4,1123.28,0-0-0,0.0,0.0,4-5-0,9
25036608,Luke,21679447,Mason,2-4-0,599.26,720.82,1-0-0,103.0,84.92,3-4-0,7
25036608,Luke,21688760,Sean,5-2-0,820.88,797.4,1-1-0,216.08,260.98,6-3-0,9
25036608,Luke,21680417,Chris,3-6-0,1030.82,1190.68,0-0-0,0.0,0.0,3-6-0,9
25036608,Luke,25033943,Isaac,3-4-0,840.24,863.2,0-0-0,0.0,0.0,3-4-0,7
25036608,Luke,21680087,Kyle,2-5-0,740.32,830.84,0-0-0,0.0,0.0,2-5-0,7
25036608,Luke,21679454,Connie,3-5-0,838.7,929.58,1-0-0,148.76,132.3,4-5-0,9
25036608,Luke,22539599,Charlie,4-6-0,1147.24,1241.9,0-0-0,0.0,0.0,4-6-0,10
25036608,Luke,30533399,Evan,1-2-0,288.08,345.94,0-0-0,0.0,0.0,1-2-0,3
25036608,Luke,21680682,Andrew,2-5-0,830.58,868.12,1-1-0,274.78,301.04,3-6-0,9
25036608,Luke,21239480,Connor,5-1-0,717.66,674.28,0-0-0,0.0,0.0,5-1-0,6
30533399,Evan,21679440,Joey,1-2-0,384.64,384.88,0-0-0,0.0,0.0,1-2-0,3
30533399,Evan,21679447,Mason,3-1-0,493.08,492.0,0-0-0,0.0,0.0,3-1-0,4
30533399,Evan,21688760,Sean,1-3-0,408.12,521.22,0-0-0,0.0,0.0,1-3-0,4
30533399,Evan,21680417,Chris,1-3-0,400.64,512.14,0-0-0,0.0,0.0,1-3-0,4
30533399,Evan,25033943,Isaac,1-2-0,341.52,383.52,0-0-0,0.0,0.0,1-2-0,3
30533399,Evan,21680087,Kyle,0-3-0,398.2,426.4,0-0-0,0.0,0.0,0-3-0,3
30533399,Evan,21679454,Connie,3-3-0,723.32,749.26,0-0-0,0.0,0.0,3-3-0,6
30533399,Evan,22539599,Charlie,0-5-0,517.66,630.2,0-1-0,106.32,170.34,0-6-0,6
30533399,Evan,25036608,Luke,2-1-0,345.94,288.08,0-0-0,0.0,0.0,2-1-0,3
30533399,Evan,21680682,Andrew,2-2-0,452.36,471.22,0-0-0,0.0,0.0,2-2-0,4
30533399,Evan,21239480,Connor,3-0-0,385.26,340.02,0-0-0,0.0,0.0,3-0-0,3
21680682,Andrew,21679440,Joey,3-5-0,945.56,983.44,0-1-0,109.4,151.28,3-6-0,9
21680682,Andrew,21679447,Mason,2-7-0,1003.48,1052.74,0-0-0,0.0,0.0,2-7-0,9
21680682,Andrew,21688760,Sean,2-6-0,918.84,986.56,0-0-0,0.0,0.0,2-6-0,8
21680682,Andrew,21680417,Chris,3-5-0,1019.94,1027.5,0-1-0,128.24,138.1,3-6-0,9
21680682,Andrew,25033943,Isaac,3-4-0,851.42,981.7,0-0-0,0.0,0.0,3-4-0,7
21680682,Andrew,21680087,Kyle,5-3-0,1068.44,942.02,1-0-0,98.92,91.74,6-3-0,9
21680682,Andrew,21679454,Connie,7-3-0,1246.8,1111.84,1-1-0,269.16,259.88,8-4-0,12
21680682,Andrew,22539599,Charlie,4-4-0,859.66,937.86,0-0-0,0.0,0.0,4-4-0,8
21680682,Andrew,25036608,Luke,5-2-0,868.12,830.58,1-1-0,301.04,274.78,6-3-0,9
21680682,Andrew,30533399,Evan,2-2-0,471.22,452.36,0-0-0,0.0,0.0,2-2-0,4
21680682,Andrew,21239480,Connor,6-4-0,1202.2,1138.68,1-0-0,160.44,135.84,7-4-0,11
21239480,Connor,21679440,Joey,5-2-0,913.12,883.38,0-0-0,0.0,0.0,5-2-0,7
21239480,Connor,21679447,Mason,4-6-0,1329.96,1344.58,0-0-0,0.0,0.0,4-6-0,10
21239480,Connor,21688760,Sean,3-8-0,1304.38,1404.6,1-0-0,163.68,144.78,4-8-0,12
21239480,Connor,21680417,Chris,3-4-0,831.12,852.54,1-0-0,158.24,117.48,4-4-0,8
21239480,Connor,25033943,Isaac,5-5-0,1314.92,1234.88,0-0-0,0.0,0.0,5-5-0,10
21239480,Connor,21680087,Kyle,5-5-0,1227.84,1239.92,0-0-0,0.0,0.0,5-5-0,10
21239480,Connor,21679454,Connie,3-4-0,857.92,813.02,0-0-0,0.0,0.0,3-4-0,7
21239480,Connor,22539599,Charlie,5-2-0,909.64,791.5,0-0-0,0.0,0.0,5-2-0,7
21239480,Connor,25036608,Luke,1-5-0,674.28,717.66,0-0-0,0.0,0.0,1-5-0,6
21239480,Connor,30533399,Evan,0-3-0,340.02,385.26,0-0-0,0.0,0.0,0-3-0,3
21239480,Connor,21680682,Andrew,4-6-0,1138.68,1202.2,0-1-0,135.84,160.44,4-7-0,11
