PRank Avg,Avg Rank,Name,Min Rank,Max Rank,Avg Min/Max,Key,Rank 1 (ESPN),PRank 1 (ESPN),Rank 2 (FPros),PRank 2 (FPros),Rank 3 (CBS),PRank 3 (CBS),Rank 4 (Ringer),PRank (Ringer),Rank 5 (NFL),PRank 5 (NFL),Rank 6 (Roto),PRank 6 (Roto)
WR1.0,1,Ja'Marr Chase (CIN),1,1,1,1-10,1,WR1,1,WR1,1,WR1,1,WR1,1,WR1,1,WR1
RB1.3,2.7,Bijan Robinson (ATL),2,4,3,11-25,2,RB1,2,RB1,2,RB1,3,RB2,4,RB1,3,RB2
WR2.3,3.8,Justin Jefferson (MIN),3,5,4,26-50,3,WR2,3,WR2,5,WR3,5,WR2,3,WR3,4,WR2
WR2.7,4,CeeDee Lamb (DAL),2,6,4,51-75,4,WR3,4,WR3,3,WR2,6,WR3,2,WR2,5,WR3
RB2.0,4.7,Saquon Barkley (PHI),2,8,5,76-100,5,RB2,8,RB3,6,RB3,2,RB1,5,RB2,2,RB1
RB2.7,5.3,Jahmyr Gibbs (DET),4,7,5.5,101-125,7,RB3,5,RB2,4,RB2,4,RB3,6,RB3,6,RB3
WR4.8,8.3,Puka Nacua (LAR),6,14,10,126-150,8,WR5,6,WR4,8,WR4,14,WR8,7,WR4,7,WR4
WR5.3,9,Amon-Ra St. Brown (DET),6,13,9.5,,6,WR4,9,WR6,13,WR7,7,WR4,9,WR6,10,WR5
WR5.5,9.3,Malik Nabers (NYG),7,11,9,,9,WR6,7,WR5,10,WR5,11,WR6,8,WR5,11,WR6
RB4.8,11.3,De'Von Achane (MIA),7,14,10.5,,10,RB4,14,RB5,7,RB4,13,RB6,11,RB4,13,RB6
WR7.5,11.8,Brian Thomas Jr. (JAC),10,15,12.5,,11,WR7,11,WR8,15,WR9,10,WR5,10,WR7,14,WR9
RB5.8,12.5,Ashton Jeanty (LV),9,15,12,,12,RB5,15,RB6,11,RB6,9,RB5,13,RB6,15,RB7
WR7.3,12.5,Nico Collins (HOU),10,16,13,,13,WR8,10,WR7,12,WR6,12,WR7,16,WR9,12,WR7
RB6.2,13.8,Christian McCaffrey (SF),9,22,15.5,,15,RB6,13,RB4,9,RB5,22,RB10,15,RB7,9,RB5
RB5.8,14.2,Derrick Henry (BAL),8,21,14.5,,20,RB8,21,RB7,16,RB7,8,RB4,12,RB5,8,RB4
WR9.2,16.2,A.J. Brown (PHI),14,18,16,,18,WR10,17,WR10,14,WR8,17,WR9,14,WR8,17,WR10
TE1.0,17,Brock Bowers (LV),14,20,17,,14,TE1,16,TE1,20,TE1,15,TE1,18,TE1,19,TE1
WR9.7,17.2,Drake London (ATL),12,23,17.5,,16,WR9,12,WR9,19,WR10,23,WR11,17,WR10,16,WR9
RB8.7,21.2,Jonathan Taylor (IND),16,32,24,,23,RB9,32,RB11,17,RB8,16,RB7,21,RB9,18,RB8
RB8.7,21.3,Josh Jacobs (GB),18,27,22.5,,24,RB10,27,RB8,18,RB9,18,RB8,19,RB8,22,RB9
TE2.0,22,Trey McBride (ARI),19,25,22,,19,TE2,19,TE2,25,TE2,21,TE2,25,TE2,23,TE2
RB9.5,22.5,Bucky Irving (TB),17,28,22.5,,17,RB7,28,RB9,21,RB10,20,RB9,23,RB11,26,RB11
WR11.3,22.5,Ladd McConkey (LAC),18,29,23.5,,22,WR11,18,WR11,26,WR12,29,WR12,20,WR11,20,WR11
QB1.7,26.2,Lamar Jackson (BAL),21,29,25,,21,QB1,26,QB2,28,QB2,25,QB2,29,QB1,28,QB2
WR13.7,26.2,Tyreek Hill (MIA),19,38,28.5,,27,WR13,25,WR15,27,WR13,19,WR10,38,WR19,21,WR12
WR13.7,27,Tee Higgins (CIN),22,33,27.5,,33,WR16,23,WR14,22,WR11,32,WR15,28,WR13,24,WR13
QB2.0,27.5,Josh Allen (BUF),24,30,27,,30,QB3,24,QB1,30,QB4,24,QB1,30,QB2,27,QB1
RB11.3,28.2,Kyren Williams (LAR),22,37,29.5,,28,RB11,37,RB12,24,RB12,28,RB11,22,RB10,30,RB12
QB3.0,30,Jayden Daniels (WAS),26,34,30,,26,QB2,31,QB3,29,QB3,26,QB3,34,QB3,34,QB4
WR14.7,30.7,Jaxon Smith-Njigba (SEA),20,36,28,,25,WR12,20,WR12,35,WR15,33,WR16,36,WR17,35,WR16
RB12.5,31.5,Chase Brown (CIN),23,42,32.5,,37,RB13,29,RB10,23,RB11,42,RB17,33,RB14,25,RB10
WR15.5,32.7,Garrett Wilson (NYJ),22,40,31,,29,WR14,22,WR13,37,WR16,40,WR18,31,WR14,37,WR18
WR15.8,33.5,Terry McLaurin (WAS),24,47,35.5,,32,WR15,35,WR18,47,WR21,31,WR14,24,WR12,32,WR15
RB13.2,33.7,Breece Hall (NYJ),26,39,32.5,,39,RB14,38,RB13,34,RB15,34,RB12,26,RB12,31,RB13
WR16.7,34.7,Davante Adams (LAR),29,40,34.5,,38,WR18,30,WR16,32,WR14,39,WR17,40,WR21,29,WR14
RB13.8,35,James Cook (BUF),27,45,36,,31,RB12,45,RB16,33,RB14,36,RB14,27,RB13,38,RB14
QB4.3,37,Jalen Hurts (PHI),27,43,35,,42,QB5,36,QB4,43,QB6,27,QB4,41,QB4,33,QB3
WR17.3,37.2,Mike Evans (TB),30,51,40.5,,40,WR19,34,WR17,51,WR23,30,WR13,32,WR15,36,WR17
WR18.7,39.5,Marvin Harrison Jr. (ARI),36,42,39,,36,WR17,40,WR20,42,WR17,41,WR19,39,WR20,39,WR19
TE3.0,39.8,George Kittle (SF),33,47,40,,35,TE3,33,TE3,38,TE3,47,TE3,46,TE3,40,TE3
WR19.7,42,DJ Moore (CHI),37,46,41.5,,43,WR20,39,WR19,46,WR20,45,WR20,37,WR18,42,WR21
RB15.8,43,Kenneth Walker III (SEA),31,50,40.5,,50,RB18,43,RB15,31,RB13,43,RB18,42,RB15,49,RB16
RB16.7,44.3,Joe Mixon (HOU),35,54,44.5,,41,RB15,53,RB20,39,RB17,35,RB13,44,RB16,54,RB19
RB17.0,45,Alvin Kamara (NO),37,55,46,,44,RB16,41,RB14,40,RB18,37,RB15,53,RB19,55,RB20
QB4.8,45.8,Joe Burrow (CIN),34,56,45,,34,QB4,47,QB5,41,QB5,54,QB5,43,QB5,56,QB5
RB17.5,47.5,Omarion Hampton (LAC),38,52,45,,47,RB17,52,RB19,50,RB20,38,RB16,51,RB18,47,RB15
RB18.2,48.2,Chuba Hubbard (CAR),36,56,46,,53,RB19,49,RB17,36,RB16,44,RB19,56,RB21,51,RB17
WR23.5,48.5,Courtland Sutton (DEN),45,55,50,,52,WR25,46,WR23,45,WR19,55,WR26,47,WR23,46,WR25
WR23.3,49.8,DK Metcalf (PIT),44,64,54,,51,WR24,44,WR22,44,WR18,52,WR24,64,WR29,44,WR23
WR24.7,50.2,DeVonta Smith (PHI),45,59,52,,48,WR23,48,WR24,59,WR28,53,WR25,48,WR24,45,WR24
WR23.5,50.5,Xavier Worthy (KC),41,61,51,,45,WR21,57,WR29,49,WR22,50,WR22,61,WR27,41,WR20
WR24.5,50.5,Jameson Williams (DET),43,58,50.5,,54,WR26,58,WR30,57,WR26,46,WR21,45,WR22,43,WR22
WR25.2,50.7,Rashee Rice (KC),35,62,48.5,,57,WR28,42,WR21,60,WR29,62,WR31,35,WR16,48,WR26
RB18.8,51.3,James Conner (ARI),48,58,53,,58,RB20,51,RB18,48,RB19,49,RB21,50,RB17,52,RB18
WR26.3,55.2,Zay Flowers (BAL),46,66,56,,46,WR22,50,WR25,66,WR30,51,WR23,65,WR30,53,WR28
TE4.0,56.3,Sam LaPorta (DET),49,65,57,,49,TE4,61,TE4,65,TE4,57,TE4,49,TE4,57,TE4
RB21.8,59.7,David Montgomery (DET),48,69,58.5,,63,RB21,66,RB22,53,RB21,48,RB20,69,RB26,59,RB21
WR29.3,61.2,Tetairoa McMillan (CAR),55,71,63,,61,WR31,55,WR27,71,WR33,59,WR28,63,WR28,58,WR29
WR30.8,63.7,Jaylen Waddle (MIA),50,75,62.5,,73,WR36,54,WR26,70,WR32,60,WR29,75,WR35,50,WR27
WR32.0,65.2,Chris Olave (NO),56,78,67,,64,WR32,56,WR28,78,WR38,61,WR30,70,WR32,62,WR32
QB6.2,66,Patrick Mahomes II (KC),55,89,72,,55,QB6,59,QB6,62,QB7,65,QB6,66,QB6,89,QB6
RB23.5,66,D'Andre Swift (CHI),54,79,66.5,,70,RB23,63,RB21,55,RB23,79,RB27,54,RB20,75,RB27
TE5.3,66.2,T.J. Hockenson (MIN),52,84,68,,62,TE5,62,TE5,84,TE7,58,TE5,52,TE5,79,TE5
WR32.5,66.3,Calvin Ridley (TEN),55,73,64,,68,WR34,68,WR34,73,WR34,73,WR37,55,WR25,61,WR31
RB23.8,66.8,Aaron Jones Sr. (MIN),63,72,67.5,,67,RB22,70,RB23,64,RB26,63,RB22,72,RB28,65,RB22
WR32.5,66.8,George Pickens (DAL),60,74,67,,66,WR33,69,WR35,68,WR31,64,WR32,74,WR34,60,WR30
WR33.0,66.8,Chris Godwin (TB),58,74,66,,74,WR37,60,WR31,58,WR27,72,WR36,68,WR31,69,WR36
WR32.8,67.5,Jerry Jeudy (CLE),52,92,72,,59,WR29,67,WR33,52,WR24,68,WR34,92,WR42,67,WR35
RB24.0,68,TreVeyon Henderson (NE),54,84,69,,84,RB27,72,RB25,54,RB22,74,RB25,58,RB22,66,RB23
WR32.2,68.4,Travis Hunter (JAC),56,100,78,,,,65,WR32,56,WR25,100,WR44,57,WR26,64,WR34
RB24.7,68.5,Tony Pollard (TEN),61,73,67,,72,RB24,73,RB26,61,RB24,66,RB23,71,RB27,68,RB24
WR34.3,70.5,Rome Odunze (CHI),56,81,68.5,,56,WR27,80,WR37,81,WR41,70,WR35,73,WR33,63,WR33
WR34.3,70.7,Jordan Addison (MIN),56,80,68,,60,WR30,78,WR36,80,WR40,56,WR27,80,WR36,70,WR37
RB25.5,71.3,RJ Harvey (DEN),60,83,71.5,,77,RB25,71,RB24,63,RB25,83,RB29,60,RB24,74,RB26
QB7.5,74.2,Kyler Murray (ARI),24,94,59,,76,QB9,77,QB9,24,QB1,86,QB8,88,QB10,94,QB8
RB26.3,74.5,Isiah Pacheco (KC),59,88,73.5,,88,RB28,75,RB27,72,RB27,81,RB28,59,RB23,72,RB25
RB28.0,79,Kaleb Johnson (PIT),67,92,79.5,,92,RB29,79,RB28,75,RB28,84,RB30,67,RB25,77,RB28
QB7.7,79.2,Baker Mayfield (TB),64,95,79.5,,65,QB7,64,QB7,88,QB8,85,QB7,78,QB8,95,QB9
WR39.2,82,Jauan Jennings (SF),71,95,83,,79,WR39,84,WR40,74,WR35,95,WR43,89,WR40,71,WR38
