user_id,owner,nfl_display_name,is_current_member,seasons_played,seasons_list,team_names_used,reg_record,reg_win_pct,reg_pf,reg_pa,post_record,post_win_pct,post_pf,post_pa,total_games,total_record,championships,championship_seasons,top_3_finishes,last_place_finishes,highest_single_score,lowest_single_score
21679447,Mason,Mason,True,7,"2019,2020,2021,2022,2023,2024,2025",Luh TD lickr | Mdog346 | Rizzlers | Show Me your TDs | Show me your TDs,56-40-0,0.5833,11835.24,11239.94,3-4-0,0.4286,897.38,777.02,103,59-44-0,1,2025,2,1,193.88,63.28
21688760,Sean,sean,True,7,"2019,2020,2021,2022,2023,2024,2025",3-Star REECHIE | BIG BALLER BRAND | Dude Lipas | Meatzzas | The Family Guy | dumb thots,56-40-0,0.5833,11868.1,11302.1,3-5-0,0.375,1086.18,1040.56,104,59-45-0,0,,2,1,187.48,47.16
21679440,Joey,Joey,True,7,"2019,2020,2021,2022,2023,2024,2025",Building Rome | Deshaun Dotson | On Jah | Oreos | PWD | Space Mav | Win Streak,53-43-0,0.5521,12205.32,12082.2,7-3-0,0.7,1416.64,1316.48,106,60-46-0,1,2019,4,0,199.76,49.46
21680267,Krish,Krish,False,1,2019,Man tit,7-6-0,0.5385,1690.54,1503.8,2-1-0,0.6667,373.66,374.44,16,9-7-0,0,,1,0,192.44,90.76
21687734,Ari,Ari,False,1,2019,i wish i actually drafted,8-5-0,0.6154,1475.7,1585.3,1-2-0,0.3333,351.4,378.84,16,9-7-0,0,,0,0,166.8,89.68
25033943,Isaac,Isaac,True,6,"2020,2021,2022,2023,2024,2025",Adam Rank | CHILD OF GOD | Nathanael Bartholomew | Pat Bateman | Sean Costigan | The I Sack Shake,46-37-0,0.5542,10253.28,10111.98,4-3-0,0.5714,875.38,805.78,90,50-40-0,1,2022,2,0,185.02,65.66
21680417,Chris,Chris,True,7,"2019,2020,2021,2022,2023,2024,2025",C-Money | Kyler the Creator | Mao Zelinskdong | Naz Reid | Prestige Worldwide | Stafford University | kamaravirus,51-45-0,0.5312,11939.18,11409.3,4-3-0,0.5714,944.26,943.04,103,55-48-0,1,2021,2,0,200.6,66.88
21679454,Connie,Connor,True,7,"2019,2020,2021,2022,2023,2024,2025",4th Quarter Hurts | Milk Man | RIP Rashee | Short Bus Express | THICCCCFILA | Tequila Sunrise,46-50-0,0.4792,11571.72,11669.66,5-3-0,0.625,1089.34,1011.8,104,51-53-0,1,2023,3,1,185.96,53.3
21680682,Andrew,Ricci,True,7,"2019,2020,2021,2022,2023,2024,2025",Bo Dix | HAPPY MAV | Huntingforkickers | KIM JOE UN | McKittle | OG CARHARTT,46-50-0,0.4792,11476.8,11496.5,5-3-0,0.625,1089.12,1029.6,104,51-53-0,1,2020,3,1,178.68,71.66
22539599,Charlie,Charlie,True,7,"2019,2020,2021,2022,2023,2024,2025",Gang | Money God | PurpleCobras | Sarcastaball | Sex God | The Peak,46-50-0,0.4792,11151.3,11458.16,1-3-0,0.25,571.1,572.1,100,47-53-0,0,,0,1,186.6,70.56
25036608,Luke,Luke,True,6,"2020,2021,2022,2023,2024,2025",The GLIZZYS,38-45-0,0.4578,9497.9,9995.3,3-2-0,0.6,639.62,694.32,88,41-47-0,1,2024,1,1,163.44,53.04
21687512,Costigan,Sean,False,1,2019,Wheyman,6-7-0,0.4615,1302.84,1461.62,0-0-0,,0.0,0.0,13,6-7-0,0,,0,0,136.8,57.64
21680087,Kyle,Kyle,True,7,"2019,2020,2021,2022,2023,2024,2025",Devin Singularity | Fuk Joey | Ginger Ninger | Wyle Wiverd,46-50-0,0.4792,11493.44,11620.6,2-7-0,0.2222,953.0,1239.0,105,48-57-0,0,,0,0,176.16,65.88
21239480,Connor,Cat,True,7,"2019,2020,2021,2022,2023,2024,2025",CR North Indians | Gage is gay | The people's TightEnd | Tight end 1 | bolsh | the people's tight end,42-54-0,0.4375,11701.98,11657.48,2-2-0,0.5,557.42,550.38,100,44-56-0,0,,1,0,189.52,21.08
21680276,CJ,CJ,False,4,"2019,2020,2021,2022",Roofie My Kupp | Saquon I STFG | Tatum is linebacker | instant kamara,23-31-0,0.4259,6052.5,6321.88,1-3-0,0.25,504.18,552.98,58,24-34-0,0,,0,0,175.24,63.5
30533399,Evan,Evan,True,3,"2023,2024,2025",Thanksgiving | WHITEBOY FOOTBALL,17-25-0,0.4048,4850.74,5198.94,0-1-0,0.0,106.32,170.34,43,17-26-0,0,,0,0,179.72,73.1
5159801,John,David,False,1,2019,MiamiDolphins,2-11-0,0.1538,1475.82,1727.64,0-0-0,,0.0,0.0,13,2-11-0,0,,0,1,160.1,75.26
