season,user_id,owner,team_name,final_rank,reg_season_rank,reg_record,reg_win_pct,reg_pf,reg_pa,playoff_record,playoff_games,playoff_pf,total_record,total_pf,avg_ppg,high_week_score,high_week_when,low_week_score,low_week_when
2019,21679440,Joey,On Jah,1,2,9-4-0,0.6923,1759.7,1479.02,2-0-0,2,300.3,11-4-0,2060.0,137.33,191.76,W1 vs Connor,78.64,W6 vs Chris
2019,21679447,Mason,Mdog346,2,1,11-2-0,0.8462,1768.48,1459.24,1-1-0,2,302.94,12-3-0,2071.42,138.09,183.92,W5 vs Cat,111.42,W6 vs Ari
2019,21680267,Krish,Man tit,3,4,7-6-0,0.5385,1690.54,1503.8,2-1-0,3,373.66,9-7-0,2064.2,129.01,192.44,W5 vs Chris,90.76,W2 vs Charlie
2019,21687734,Ari,i wish i actually drafted,4,3,8-5-0,0.6154,1475.7,1585.3,1-2-0,3,351.4,9-7-0,1827.1,114.19,166.8,W4 vs David,89.68,W10 vs Joey
2019,21680276,CJ,instant kamara,5,6,7-6-0,0.5385,1504.52,1433.16,0-1-0,1,95.6,7-7-0,1600.12,114.29,175.24,W11 vs Krish,76.44,W5 vs Joey
2019,21239480,Connor,Tight end 1,6,5,7-6-0,0.5385,1558.92,1431.1,0-1-0,1,99.66,7-7-0,1658.58,118.47,161.62,W9 vs Ari,84.12,W2 vs Sean
2019,21680682,Andrew,Huntingforkickers,7,12,4-9-0,0.3077,1418.28,1467.28,0-0-0,0,0.0,4-9-0,1418.28,109.1,169.32,W9 vs David,74.4,W12 vs Krish
2019,21679454,Connie,THICCCCFILA,8,10,6-7-0,0.4615,1430.96,1544.18,0-0-0,0,0.0,6-7-0,1430.96,110.07,146.32,W1 vs Joey,60.06,W11 vs Cat
2019,22539599,Charlie,PurpleCobras,9,7,7-6-0,0.5385,1455.22,1493.06,0-0-0,0,0.0,7-6-0,1455.22,111.94,147.6,W12 vs David,92.4,W15 vs Connor
2019,21680417,Chris,Prestige Worldwide,10,8,7-6-0,0.5385,1448.96,1465.28,0-0-0,0,0.0,7-6-0,1448.96,111.46,136.32,W10 vs Connor,66.88,W5 vs Krish
2019,21687512,Costigan,Wheyman,11,11,6-7-0,0.4615,1302.84,1461.62,0-0-0,0,0.0,6-7-0,1302.84,100.22,136.8,W5 vs Connor,57.64,W12 vs Mason
2019,21688760,Sean,dumb thots,12,9,7-6-0,0.5385,1441.1,1501.8,0-0-0,0,0.0,7-6-0,1441.1,110.85,181.76,W8 vs Krish,47.16,W14 vs Ricci
2019,21680087,Kyle,Fuk Joey,13,13,3-10-0,0.2308,1362.84,1541.4,0-0-0,0,0.0,3-10-0,1362.84,104.83,155.84,W3 vs Joey,65.88,W5 vs Ricci
2019,5159801,John,MiamiDolphins,14,14,2-11-0,0.1538,1475.82,1727.64,0-0-0,0,0.0,2-11-0,1475.82,113.52,160.1,W4 vs Ari,75.26,W1 vs Krish
2020,21680682,Andrew,Huntingforkickers,1,5,7-6-0,0.5385,1650.66,1624.06,3-0-0,3,477.32,10-6-0,2127.98,133.0,178.68,W16 vs Connor,90.82,W7 vs Luke
2020,21679454,Connie,THICCCCFILA,2,7,6-7-0,0.4615,1741.84,1674.1,2-1-0,3,433.18,8-8-0,2175.02,135.94,175.3,W3 vs Joey,99.6,W12 vs Luke
2020,21679440,Joey,Deshaun Dotson,3,3,7-6-0,0.5385,1792.3,1708.46,2-1-0,3,433.84,9-7-0,2226.14,139.13,199.76,W7 vs Charlie,86.26,W5 vs Chris
2020,21680276,CJ,Tatum is linebacker,4,1,10-3-0,0.7692,1649.28,1500.16,1-2-0,3,408.58,11-5-0,2057.86,128.62,165.0,W2 vs Kyle,83.26,W8 vs Charlie
2020,21680087,Kyle,Ginger Ninger,5,6,6-7-0,0.4615,1643.06,1692.28,0-1-0,1,124.78,6-8-0,1767.84,126.27,164.42,W3 vs Chris,79.9,W6 vs Charlie
