season,final_rank,team_id,team_name,owner,division,division_rank,overall_rank_reg_season,wins,losses,ties,win_pct,points_for,points_against,streak
2025,1,3,Rizzlers,Mason,Whole,1,1,10,4,0,0.714,1771.46,1683.7,W1
2025,2,2,Tequila Sunrise,Connor,Skim,3,7,7,7,0,0.5,1500.46,1639.96,W4
2025,3,9,Bo Dix,Ricci,Skim,1,4,7,7,0,0.5,1646.88,1640.14,L3
2025,4,5,Ginger Ninger,,Whole,3,3,8,6,0,0.571,1654.54,1696.8,L1
2025,5,4,CHILD OF GOD,,Whole,2,2,10,4,0,0.714,1986.44,1797.64,L2
2025,6,15,Money God,,Skim,2,8,7,7,0,0.5,1529.46,1588.1,W1
2025,7,1,Building Rome,,Whole,5,6,7,7,0,0.5,1666.52,1775.54,W2
2025,8,7,WHITEBOY FOOTBALL,,Skim,5,11,5,9,0,0.357,1592.04,1668.72,L1
2025,9,10,The people's TightEnd,,Whole,4,5,7,7,0,0.5,1902.42,1690.18,W1
2025,10,11,Kyler the Creator,,Skim,4,9,6,8,0,0.429,1785.2,1714.12,W4
2025,11,8,The GLIZZYS,,Skim,6,12,4,10,0,0.286,1438.14,1581.24,L5
2025,12,14,The Family Guy,,Whole,6,10,6,8,0,0.429,1703.24,1700.66,L1
