season,team_id,team_name,owner,user_id
2019,1,My Team,,
2019,2,THICCCCFILA,,
2019,3,Mdog346,,
2019,5,Fuk Joey,,
2019,6,Man tit,,
2019,7,instant kamara,,
2019,8,Prestige Worldwide,,
2019,9,Huntingforkickers,,
2019,10,Tight end 1,,
2019,11,Wheyman,,
2019,12,i wish i actually drafted,,
2019,13,MiamiDolphins,,
2019,14,dumb thots,,
2019,15,PurpleCobras,,
2020,1,My Team,,
2020,2,THICCCCFILA,,
2020,3,Show Me your TDs,,
2020,4,The I Sack Shake,,
2020,5,Ginger Ninger,,
2020,7,Tatum is linebacker,,
2020,8,The GLIZZYS,,
2020,9,Huntingforkickers,,
2020,10,bolsh,,
2020,11,C-Money,,
2020,14,Meatzzas,,
2020,15,Sarcastaball,,
2021,1,My Team,,
2021,2,4th Quarter Hurts,,
2021,3,Show me your TDs,,
2021,4,Adam Rank,,
2021,5,Ginger Ninger,,
2021,7,Saquon I STFG,,
2021,8,The GLIZZYS,,
2021,9,McKittle,,
2021,10,Gage is gay,,
2021,11,Stafford University,,
2021,14,Dude Lipas,,
2021,15,Sarcastaball,,
2022,1,My Team,,
2022,2,Short Bus Express,,
2022,3,Show me your TDs,,
2022,4,Pat Bateman,,
2022,5,Wyle Wiverd,,
2022,7,Roofie My Kupp,,
2022,8,The GLIZZYS,,
2022,9,HAPPY MAV,,
2022,10,the people's tight end,,
2022,11,kamaravirus,,
2022,14,Dude Lipas,,
2022,15,The Peak,,
2023,1,My Team,,
2023,2,Milk Man,,
2023,3,Luh TD lickr,,
2023,4,Nathanael Bartholomew,,
2023,5,Ginger Ninger,,
2023,7,Thanksgiving,,
2023,8,The GLIZZYS,,
2023,9,KIM JOE UN,,
2023,10,CR North Indians,,
2023,11,Mao Zelinskdong,,
2023,14,BIG BALLER BRAND,,
2023,15,Gang,,
2024,1,My Team,,
2024,2,RIP Rashee,,
2024,3,Rizzlers,,
2024,4,Sean Costigan,,
2024,5,Devin Singularity,,
2024,7,WHITEBOY FOOTBALL,,
2024,8,The GLIZZYS,,
2024,9,OG CARHARTT,,
2024,10,CR North Indians,,
2024,11,Naz Reid,,
2024,14,3-Star REECHIE,,
2024,15,Sex God,,
2025,1,My Team,,
2025,2,Tequila Sunrise,,
2025,3,Rizzlers,,
2025,4,CHILD OF GOD,,
2025,5,Ginger Ninger,,
2025,7,WHITEBOY FOOTBALL,,
2025,8,The GLIZZYS,,
2025,9,Bo Dix,,
2025,10,The people's TightEnd,,
2025,11,Kyler the Creator,,
2025,14,The Family Guy,,
2025,15,Money God,,
